"Geneid","Chr","Start","End","Strand","Length","CL1","CL2","CL3","LB1","LB2","LB3"
"PA0062","NC_002516.2",74773,75189,"-",417,1128,1351,256,821,641,1017
"PA0063","NC_002516.2",75281,76408,"+",1128,879,802,283,940,906,890
"PA0064","NC_002516.2",76416,77399,"-",984,939,1295,321,1251,1123,992
"PA0065","NC_002516.2",77432,78097,"-",666,1037,1193,373,1330,1098,941
"PA0066","NC_002516.2",78090,78632,"-",543,1598,1509,536,2263,2219,1405
"PA0067","NC_002516.2",78710,80755,"+",2046,21403,15899,5237,15865,20840,26201
"PA0068","NC_002516.2",80752,81027,"+",276,3194,2396,875,2801,3735,5403
"PA0069","NC_002516.2",81116,82174,"+",1059,957,1014,270,1008,774,813
"PA0070","NC_002516.2",82404,83318,"-",915,1519,2708,437,1418,1294,1425
"PA0071","NC_002516.2",83380,85092,"-",1713,3841,4424,874,4617,3782,4522
"PA0072","NC_002516.2",85085,86284,"-",1200,66,69,23,100,93,41
"PA0073","NC_002516.2",86284,87003,"-",720,57,39,16,50,42,46
"PA0074","NC_002516.2",87000,90098,"-",3099,861,1193,244,1202,737,657
"PA0075","NC_002516.2",90106,90834,"-",729,234,294,69,296,178,150
"PA0076","NC_002516.2",90844,91524,"-",681,118,151,50,173,143,86
"PA0077","NC_002516.2",91521,94826,"-",3306,1163,1313,341,1728,1646,1015
"PA0078","NC_002516.2",95048,96397,"-",1350,437,504,141,685,725,375
"PA0079","NC_002516.2",96404,97738,"-",1335,629,729,225,855,952,568
"PA0080","NC_002516.2",97754,98218,"-",465,286,409,102,496,522,347
"PA0081","NC_002516.2",98263,99756,"-",1494,6636,6613,1490,9045,8455,7985
"PA0082","NC_002516.2",100124,101158,"+",1035,2198,2614,522,2854,2123,1769
"PA0083","NC_002516.2",101247,101765,"+",519,1603,2830,426,1131,659,650
"PA0084","NC_002516.2",101778,103274,"+",1497,3468,6448,896,2390,1659,1745
"PA0085","NC_002516.2",103350,103838,"+",489,1905,3888,486,1300,1282,1207
"PA0086","NC_002516.2",104006,104851,"+",846,654,943,158,557,517,485
"PA0087","NC_002516.2",104853,105362,"+",510,394,366,98,474,289,251
"PA0088","NC_002516.2",105359,107218,"+",1860,661,741,152,941,481,523
"PA0089","NC_002516.2",107182,108228,"+",1047,383,461,86,572,289,389
"PA0090","NC_002516.2",108221,110929,"+",2709,1519,1902,442,2150,1428,1364
"PA0091","NC_002516.2",110976,112907,"+",1932,1095,1426,277,1272,647,683
"PA0092","NC_002516.2",113022,113306,"-",285,110,139,36,109,87,99
"PA0093","NC_002516.2",113303,114595,"-",1293,229,293,68,242,183,165
"PA0094","NC_002516.2",114611,115045,"-",435,648,724,155,618,490,351
"PA0095","NC_002516.2",115299,117524,"+",2226,1034,1242,325,2182,2154,1483
"PA0096","NC_002516.2",117552,118001,"+",450,98,155,71,231,231,198
"PA0097","NC_002516.2",117931,119130,"+",1200,184,225,96,466,457,354
"PA0098","NC_002516.2",119127,120164,"+",1038,28,17,9,64,81,59
"PA0099","NC_002516.2",120164,121324,"+",1161,6,8,2,16,6,9
"PA0100","NC_002516.2",121346,122266,"+",921,1,0,0,0,0,0
"PA0101","NC_002516.2",122248,123495,"+",1248,265,180,87,456,519,476
"PA0102","NC_002516.2",123871,124599,"+",729,5084,7050,2007,5990,6280,6327
"PA0103","NC_002516.2",124810,126381,"+",1572,1310,1289,338,1036,1092,2021
"PA0103a","NC_002516.2",126368,127006,"-",639,1660,2154,441,1766,1956,1994
"PA0105","NC_002516.2",127378,128502,"+",1125,64807,69059,10218,38071,46508,76744
"PA0106","NC_002516.2",128512,130104,"+",1593,13689,13357,1655,7332,7645,37749
"PA0107","NC_002516.2",130115,130669,"+",555,5178,3917,517,2416,2483,13340
"PA0108","NC_002516.2",130680,131567,"+",888,18840,16573,2951,14599,15530,43719
"PA0109","NC_002516.2",131583,131792,"-",210,10917,7916,1701,11031,10534,25580
"PA0110","NC_002516.2",131808,132602,"+",795,4217,2612,325,1310,1465,11195
"PA0111","NC_002516.2",132577,133155,"+",579,2318,1369,209,646,710,6815
"PA0112","NC_002516.2",133220,134293,"+",1074,1486,1014,159,563,642,4307
"PA0113","NC_002516.2",134319,135233,"+",915,2126,2275,321,2009,1908,6978
"PA0114","NC_002516.2",135259,135894,"+",636,2862,3113,736,4161,4117,5785
"PA0115","NC_002516.2",135934,136386,"-",453,765,796,176,916,694,1029
"PA0116","NC_002516.2",136518,136991,"+",474,1647,2128,479,1941,1649,2484
"PA0117","NC_002516.2",137248,137976,"+",729,244,347,70,486,214,261
"PA0118","NC_002516.2",138001,138588,"+",588,364,447,76,710,382,710
"PA0119","NC_002516.2",138818,140167,"+",1350,935,1140,270,1426,1080,794
"PA0120","NC_002516.2",140216,140902,"+",687,880,884,334,1447,1589,1327
"PA0121","NC_002516.2",141003,141737,"+",735,448,492,186,732,720,562
"PA0122","NC_002516.2",141917,142327,"+",411,91658,135072,46795,196220,295921,137191
"PA0123","NC_002516.2",142359,143267,"-",909,12227,10526,6985,34137,53921,20764
"PA0124","NC_002516.2",143567,143848,"-",282,1059,1424,427,2299,2185,1233
"PA0125","NC_002516.2",143845,144072,"-",228,930,956,392,2034,2190,1079
"PA0126","NC_002516.2",144248,144868,"-",621,381,491,115,601,396,238
"PA0127","NC_002516.2",144969,145469,"+",501,801,756,293,1467,1486,1122
"PA0128","NC_002516.2",145542,145883,"+",342,2239,3455,1141,6568,8570,1931
"PA0129","NC_002516.2",145965,147392,"-",1428,1905,2481,583,2477,2126,1831
"PA0130","NC_002516.2",147561,149054,"-",1494,3107,3281,821,2942,2886,2251
"PA0131","NC_002516.2",149138,149425,"-",288,807,620,190,1000,789,636
"PA0132","NC_002516.2",149425,150771,"-",1347,3854,3060,1091,3370,3794,1617
"PA0133","NC_002516.2",150906,151823,"+",918,808,908,264,1000,904,900
"PA0134","NC_002516.2",151936,153306,"-",1371,2295,2412,674,2771,2641,2190
"PA0135","NC_002516.2",153696,153836,"+",141,240,317,38,464,176,202
"PA0136","NC_002516.2",154417,155988,"+",1572,349,294,117,561,590,407
"PA0137","NC_002516.2",155988,157085,"+",1098,342,330,85,609,362,339
"PA0138","NC_002516.2",157108,158034,"+",927,748,822,220,1126,892,1091
"PA0139","NC_002516.2",158199,158762,"+",564,355145,420494,94046,235250,321599,290803
"PA0140","NC_002516.2",158907,160472,"+",1566,71508,58443,14271,35979,65772,67639
"PA0141","NC_002516.2",160552,161448,"-",897,4041,6975,2396,7636,11719,2221
"PA0142","NC_002516.2",161906,163255,"+",1350,687,620,241,1301,1158,654
"PA0143","NC_002516.2",163363,164415,"+",1053,2694,3796,886,3692,4017,4547
"PA0144","NC_002516.2",164443,165069,"-",627,719,638,301,917,1274,866
"PA0145","NC_002516.2",165219,165737,"-",519,355,280,189,672,823,359
"PA0146","NC_002516.2",165976,167073,"+",1098,626,767,203,1130,706,573
"PA0147","NC_002516.2",167146,168108,"+",963,1096,1112,328,1688,1586,1683
"PA0148","NC_002516.2",168213,169163,"+",951,3044,3625,903,3897,4292,4146
"PA0149","NC_002516.2",169361,169906,"+",546,598,310,126,191,236,274
"PA0150","NC_002516.2",169903,170898,"+",996,335,233,69,267,122,148
"PA0151","NC_002516.2",171047,173434,"+",2388,725,738,142,1082,476,564
"PA0152","NC_002516.2",173811,174638,"+",828,506,390,186,865,952,496
"PA0153","NC_002516.2",174773,175492,"+",720,409,442,94,959,555,458
"PA0154","NC_002516.2",175503,176108,"+",606,408,384,86,594,405,726
"PA0155","NC_002516.2",176315,177154,"+",840,619,872,183,1302,712,796
"PA0156","NC_002516.2",177307,178458,"+",1152,2552,1947,946,3997,4996,4068
"PA0157","NC_002516.2",178455,179525,"+",1071,1922,1930,618,2473,3030,3543
"PA0158","NC_002516.2",179522,182569,"+",3048,11694,13671,2946,12836,13002,18251
"PA0159","NC_002516.2",182768,183706,"+",939,1200,1352,315,1477,1339,2149
"PA0160","NC_002516.2",183822,184007,"+",186,788,1021,259,1719,1485,1268
"PA0162","NC_002516.2",184594,185928,"+",1335,1270,1615,313,2115,1567,1494
"PA0163","NC_002516.2",185957,186754,"-",798,401,308,133,635,625,465
"PA0164","NC_002516.2",186832,188448,"+",1617,476,584,137,837,599,558
"PA0165","NC_002516.2",189120,189956,"+",837,566,905,163,913,370,414
"PA0166","NC_002516.2",190198,191604,"+",1407,498,455,144,953,812,508
"PA0167","NC_002516.2",191697,192362,"+",666,819,811,228,1011,994,857
"PA0168","NC_002516.2",192368,192958,"+",591,143,119,45,153,124,180
"PA0169","NC_002516.2",192965,193672,"-",708,603,689,137,706,472,478
"PA0170","NC_002516.2",193799,194179,"-",381,384,520,101,510,281,260
"PA0171","NC_002516.2",194206,194748,"-",543,333,463,55,395,135,155
"PA0172","NC_002516.2",194757,196748,"-",1992,931,1004,231,1045,760,620
"PA0173","NC_002516.2",197011,198060,"-",1050,540,727,207,1281,1390,1192
"PA0174","NC_002516.2",198080,198682,"-",603,1005,1401,387,2425,2794,2753
"PA0175","NC_002516.2",198688,199530,"-",843,3057,4526,1276,7444,8961,8258
"PA0176","NC_002516.2",199600,201639,"-",2040,15652,20869,8550,46194,60388,44406
"PA0177","NC_002516.2",201675,202160,"-",486,7228,8031,4361,25466,30904,21217
"PA0178","NC_002516.2",202147,204066,"-",1920,17582,21001,9006,46278,59637,35345
"PA0179","NC_002516.2",204094,204459,"-",366,77063,105154,22589,130033,153135,93036
"PA0180","NC_002516.2",204657,205829,"-",1173,5532,7376,2688,16704,18773,10508
"PA0181","NC_002516.2",206022,206954,"-",933,860,1107,315,1758,1475,1262
"PA0182","NC_002516.2",207071,207823,"+",753,248,200,98,390,360,268
"PA0183","NC_002516.2",207923,209533,"-",1611,361,301,94,919,387,311
"PA0184","NC_002516.2",209621,210460,"-",840,108,104,25,366,83,73
"PA0185","NC_002516.2",210457,212073,"-",1617,137,177,54,327,200,153
"PA0186","NC_002516.2",212340,213401,"+",1062,268,300,68,519,215,171
"PA0187","NC_002516.2",213819,214634,"+",816,0,0,0,0,0,0
"PA0188","NC_002516.2",214631,215512,"+",882,0,0,0,0,0,2
"PA0189","NC_002516.2",215550,216908,"-",1359,326,373,101,568,437,283
"PA0190","NC_002516.2",217156,217881,"+",726,432,656,112,603,473,439
"PA0191","NC_002516.2",217905,218822,"-",918,1192,1313,306,1299,1024,774
"PA0192","NC_002516.2",219172,221544,"+",2373,900,1009,267,1622,1070,1058
"PA0193","NC_002516.2",221585,222487,"+",903,279,267,70,484,264,252
"PA0194","NC_002516.2",222555,223454,"+",900,329,300,121,841,592,507
"PA0195","NC_002516.2",224101,225219,"+",1119,3932,4145,1491,6051,7989,5330
"PA0195.1","NC_002516.2",225295,225603,"+",309,1209,1201,401,2191,2646,2371
"PA0196","NC_002516.2",225603,227039,"+",1437,3533,3834,1241,6010,6979,7690
"PA0197","NC_002516.2",227382,228194,"+",813,286,355,100,484,335,141
"PA0198","NC_002516.2",228223,228942,"+",720,816,1031,339,1563,1573,483
"PA0199","NC_002516.2",228944,229345,"+",402,2234,2927,1357,6752,8153,1536
"PA0200","NC_002516.2",229526,229738,"-",213,3243,5805,2091,14384,15254,5332
"PA0201","NC_002516.2",229954,230535,"+",582,341,425,89,376,283,148
"PA0202","NC_002516.2",230543,232000,"-",1458,4,5,2,0,3,1
"PA0203","NC_002516.2",232066,233100,"-",1035,0,1,1,1,3,0
"PA0204","NC_002516.2",233123,233932,"-",810,0,1,0,2,1,0
"PA0205","NC_002516.2",233929,234849,"-",921,4,2,0,0,1,2
"PA0206","NC_002516.2",234875,235987,"-",1113,0,0,0,1,1,0
"PA0207","NC_002516.2",236218,237111,"+",894,0,2,0,1,0,0
"PA0208","NC_002516.2",237232,238896,"+",1665,2127,3010,724,3928,4241,5226
"PA0209","NC_002516.2",238896,239777,"+",882,64,48,27,172,220,298
"PA0210","NC_002516.2",239779,240078,"+",300,25,16,11,85,97,121
"PA0211","NC_002516.2",240071,240934,"+",864,190,135,54,482,528,710
"PA0212","NC_002516.2",240931,241737,"+",807,156,122,49,350,441,642
"PA0213","NC_002516.2",241753,242445,"+",693,34,39,13,98,124,97
"PA0214","NC_002516.2",242442,243374,"+",933,433,407,153,855,964,1046
"PA0215","NC_002516.2",243431,243835,"+",405,554,588,192,1159,1140,1106
"PA0216","NC_002516.2",243841,244605,"+",765,725,756,229,1244,1117,1263
"PA0217","NC_002516.2",244690,245619,"-",930,802,964,199,1107,734,765
"PA0218","NC_002516.2",245948,246868,"-",921,1173,1263,328,1717,1363,1265
"PA0219","NC_002516.2",247219,248709,"+",1491,265,271,59,531,215,255
"PA0220","NC_002516.2",248767,250200,"+",1434,1023,1132,260,1800,1318,1412
"PA0221","NC_002516.2",250231,251613,"+",1383,318,377,56,752,307,412
"PA0222","NC_002516.2",251777,252835,"+",1059,238,184,55,746,214,228
"PA0223","NC_002516.2",252913,253794,"-",882,509,506,144,1065,895,1001
"PA0224","NC_002516.2",253854,254636,"-",783,863,1083,278,1913,1347,1141
"PA0225","NC_002516.2",254791,255330,"+",540,850,1120,225,1152,841,1072
"PA0226","NC_002516.2",255481,256332,"+",852,361,430,81,693,331,7917
"PA0227","NC_002516.2",256329,257111,"+",783,151,134,50,366,309,9062
"PA0228","NC_002516.2",257108,258313,"+",1206,320,232,101,579,642,15597
"PA0229","NC_002516.2",258463,259761,"+",1299,1371,1830,374,1993,1452,11024
"PA0230","NC_002516.2",259784,261163,"+",1380,733,668,234,1131,1259,6130
"PA0231","NC_002516.2",261179,261970,"+",792,508,432,157,620,570,1824
"PA0232","NC_002516.2",261981,262382,"+",402,1258,1331,268,1249,1067,5999
"PA0233","NC_002516.2",262557,263498,"+",942,704,615,194,942,879,2263
"PA0234","NC_002516.2",263689,264522,"+",834,464,460,89,1152,386,579
"PA0235","NC_002516.2",264964,266310,"-",1347,278,261,42,693,198,1613
"PA0236","NC_002516.2",266616,267395,"+",780,585,520,249,1324,1440,745
"PA0237","NC_002516.2",267638,268681,"+",1044,151,142,25,282,163,133
"PA0238","NC_002516.2",268704,269519,"+",816,171,143,61,521,448,361
"PA0239","NC_002516.2",269669,270547,"+",879,381,404,106,822,504,557
"PA0240","NC_002516.2",270573,271838,"-",1266,790,789,233,1238,1015,1337
"PA0241","NC_002516.2",271904,273229,"-",1326,355,409,89,715,342,760
"PA0242","NC_002516.2",273775,275679,"+",1905,380,404,115,775,478,1118
"PA0243","NC_002516.2",275772,276440,"+",669,750,1170,197,1068,924,1458
"PA0244","NC_002516.2",276480,277334,"-",855,106,105,27,237,96,364
"PA0245","NC_002516.2",277331,277777,"-",447,134,136,31,291,146,405
"PA0246","NC_002516.2",277894,279399,"-",1506,480,532,155,790,593,459
"PA0247","NC_002516.2",279574,280758,"-",1185,494,611,121,1004,506,642
"PA0248","NC_002516.2",280936,281802,"+",867,1402,960,331,1389,1428,1879
"PA0249","NC_002516.2",281799,282245,"-",447,13360,7968,2294,6159,8753,14012
"PA0250","NC_002516.2",282323,282757,"-",435,119919,112978,21006,76244,76415,152716
"PA0251","NC_002516.2",282912,283553,"-",642,2,1,0,2,0,1
"PA0252","NC_002516.2",283818,284105,"-",288,287,460,62,406,167,200
"PA0253","NC_002516.2",284197,284673,"-",477,2105,2779,530,1575,1513,2799
"PA0254","NC_002516.2",284714,286204,"-",1491,5508,8108,1723,4456,5206,6084
"PA0255","NC_002516.2",286338,287024,"-",687,911,713,363,1227,2039,990
"PA0256","NC_002516.2",287188,288120,"-",933,13147,16483,3162,20326,19348,15626
"PA0257","NC_002516.2",288384,289175,"-",792,9312,12139,3248,13300,14197,12748
"PA0258","NC_002516.2",289205,289390,"-",186,5150,6381,1685,8456,8801,7725
"PA0259","NC_002516.2",289562,291004,"-",1443,3099,3402,924,4134,4517,4378
"PA0260","NC_002516.2",291154,293304,"-",2151,3405,3849,799,4623,4265,3556
"PA0261","NC_002516.2",293301,293798,"-",498,817,1171,221,1421,1312,1096
"PA0262","NC_002516.2",293802,296861,"-",3060,2435,3418,700,4244,3328,2578
"PA0263","NC_002516.2",297043,297561,"-",519,82,116,19,165,70,54
"PA0263.1","NC_002516.2",298816,298892,"-",77,286,331,58,519,399,286
"PA0265","NC_002516.2",299522,300973,"+",1452,14053,15356,3028,11874,15637,22918
"PA0266","NC_002516.2",301218,302498,"+",1281,15293,15097,3072,11404,17731,24421
"PA0267","NC_002516.2",302824,304023,"+",1200,651,606,215,566,737,719
"PA0268","NC_002516.2",304177,305598,"-",1422,930,1089,312,1264,1413,1164
"PA0269","NC_002516.2",305725,306162,"+",438,2147,2390,1102,3781,5219,3550
"PA0270","NC_002516.2",306174,306581,"+",408,2523,2872,1234,3620,4954,3682
"PA0271","NC_002516.2",306615,306899,"+",285,1716,1941,743,2203,3002,2343
"PA0272","NC_002516.2",306896,307828,"-",933,2078,2169,739,2478,2868,2625
"PA0273","NC_002516.2",307878,309092,"-",1215,326,314,97,446,424,325
"PA0274","NC_002516.2",309255,310025,"-",771,294,279,90,408,305,317
"PA0275","NC_002516.2",310134,310820,"-",687,1391,1496,457,1822,2127,1753
"PA0276","NC_002516.2",310896,311411,"+",516,305,360,201,1217,1731,510
"PA0277","NC_002516.2",311451,312209,"-",759,384,559,164,615,755,411
"PA0278","NC_002516.2",312381,313133,"-",753,148,145,59,309,316,197
"PA0279","NC_002516.2",313227,313925,"+",699,255,231,76,394,406,303
"PA0280","NC_002516.2",313938,314927,"-",990,1956,1540,303,1116,861,1099
"PA0281","NC_002516.2",314931,315800,"-",870,1241,1428,224,922,565,630
"PA0282","NC_002516.2",315811,316629,"-",819,821,818,186,592,318,311
"PA0283","NC_002516.2",316791,317789,"-",999,2292,4075,595,1158,548,664
"PA0284","NC_002516.2",317966,318148,"-",183,1889,3311,415,1200,898,1081
"PA0285","NC_002516.2",318312,320594,"-",2283,2385,2814,578,2792,2047,2155
"PA0286","NC_002516.2",320766,321944,"+",1179,10381,12170,3343,9642,12672,7759
"PA0287","NC_002516.2",322175,323560,"+",1386,607,731,129,1075,663,638
"PA0288","NC_002516.2",323616,324572,"+",957,114,107,20,302,86,75
"PA0289","NC_002516.2",324625,325587,"+",963,1736,1571,576,2544,3148,2756
"PA0290","NC_002516.2",325700,326671,"+",972,4328,6173,1406,6972,7349,7028
"PA0291","NC_002516.2",327284,328666,"+",1383,5718,8711,1820,5459,5909,6767
"PA0292","NC_002516.2",328801,329907,"-",1107,2881,4109,952,3203,3357,2471
"PA0293","NC_002516.2",329993,330871,"-",879,1513,2494,411,1127,781,561
"PA0294","NC_002516.2",331034,331699,"-",666,440,436,170,820,885,564
"PA0295","NC_002516.2",331762,332823,"-",1062,1456,1755,600,3142,3456,1283
"PA0296","NC_002516.2",333079,334455,"-",1377,12875,15599,3465,12734,16341,15273
"PA0297","NC_002516.2",334734,335486,"+",753,16808,16391,3432,20339,21670,19635
"PA0298","NC_002516.2",335527,336885,"+",1359,9490,11672,2111,7132,9237,11145
"PA0299","NC_002516.2",336951,338321,"+",1371,22235,30270,6265,22186,29680,27315
"PA0300","NC_002516.2",338437,339540,"+",1104,12793,16542,2679,9494,10983,15234
"PA0301","NC_002516.2",339959,341056,"+",1098,3416,4991,676,2459,2026,3736
"PA0302","NC_002516.2",341111,342265,"+",1155,2776,4213,653,1977,1688,3970
"PA0303","NC_002516.2",342292,343173,"+",882,3837,5621,869,3136,2975,5402
"PA0304","NC_002516.2",343256,344125,"+",870,4791,5295,823,4120,3737,7037
"PA0305","NC_002516.2",344303,346690,"-",2388,1181,1336,390,2204,1406,1513
"PA0306","NC_002516.2",346801,347853,"+",1053,1441,2187,481,1855,1974,2115
"PA0306a","NC_002516.2",347832,348335,"-",504,3486,6255,1191,4387,5031,4874
"PA0307","NC_002516.2",348440,349051,"-",612,706,820,301,1453,1607,663
"PA0308","NC_002516.2",349050,350069,"+",1020,684,818,210,825,885,829
"PA0309","NC_002516.2",350089,350841,"-",753,1498,1711,437,1556,1794,1336
"PA0310","NC_002516.2",350890,351588,"+",699,2763,3164,1111,3978,5304,1921
"PA0311","NC_002516.2",351610,352164,"-",555,482,387,182,516,634,291
"PA0312","NC_002516.2",352430,352924,"+",495,2648,3115,1063,5007,6010,3927
"PA0313","NC_002516.2",352927,353619,"-",693,1977,2845,646,2556,2536,2865
"PA0314","NC_002516.2",353691,354461,"-",771,1497,1869,411,2501,2469,1850
"PA0315","NC_002516.2",354754,355191,"+",438,5857,9245,1608,5335,6372,8441
"PA0316","NC_002516.2",355248,356477,"-",1230,7149,11003,2314,6367,8606,7286
"PA0317","NC_002516.2",356681,358075,"+",1395,5074,7638,1972,7157,7856,4082
"PA0318","NC_002516.2",358167,358832,"+",666,4537,4920,1788,5672,6675,6561
"PA0319","NC_002516.2",358931,359920,"+",990,2326,3199,746,2736,2623,1869
"PA0320","NC_002516.2",359982,360332,"+",351,377,412,57,496,191,284
"PA0321","NC_002516.2",360413,361447,"-",1035,569,574,156,1104,760,563
"PA0322","NC_002516.2",361463,362857,"-",1395,792,864,185,1111,791,743
"PA0323","NC_002516.2",363278,364321,"-",1044,727,887,183,1467,730,795
"PA0324","NC_002516.2",364369,365157,"-",789,701,778,195,1411,1003,837
"PA0325","NC_002516.2",365154,366083,"-",930,1327,1629,358,1744,1417,1384
"PA0326","NC_002516.2",366080,367129,"-",1050,297,395,84,848,219,225
"PA0327","NC_002516.2",367457,368422,"+",966,1017,1264,271,1365,869,812
"PA0328","NC_002516.2",368462,370405,"-",1944,1697,1957,492,1759,1504,1588
"PA0329","NC_002516.2",370706,371038,"-",333,11772,13538,2491,22216,21813,28070
"PA0330","NC_002516.2",371162,371833,"-",672,2989,3906,1074,3180,3988,2193
"PA0331","NC_002516.2",372091,373605,"+",1515,1831,2402,650,2251,2280,1681
"PA0332","NC_002516.2",373725,374192,"+",468,1383,1772,528,2873,3734,2449
"PA0333","NC_002516.2",374243,375514,"+",1272,1217,1531,500,2368,2964,2161
"PA0334","NC_002516.2",375951,377189,"-",1239,618,604,211,815,729,636
"PA0335","NC_002516.2",377239,377892,"-",654,1195,1295,462,1839,2137,913
"PA0336","NC_002516.2",378096,378575,"+",480,11167,13938,3965,15674,16750,14475
"PA0337","NC_002516.2",378598,380877,"+",2280,19536,24225,6360,18670,22428,22907
"PA0338","NC_002516.2",380903,382033,"+",1131,5661,6654,1562,6928,7137,7212
"PA0339","NC_002516.2",382037,382792,"-",756,1062,815,317,1345,1700,1568
"PA0340","NC_002516.2",382914,383717,"+",804,1101,1182,366,1392,1355,1250
"PA0341","NC_002516.2",383727,384527,"+",801,1568,1954,480,1670,1487,1681
